task_id,passed,input_tokens,output_tokens,total_tokens
HumanEval/0,PASS,152,42,194
HumanEval/1,PASS,145,98,243
HumanEval/10,PASS,171,53,224
HumanEval/100,PASS,157,54,211
HumanEval/101,FAIL,141,30,171
HumanEval/102,PASS,119,61,180
HumanEval/103,PASS,170,64,234
HumanEval/104,PASS,131,43,174
HumanEval/105,PASS,301,78,379
HumanEval/106,PASS,149,100,249
HumanEval/107,PASS,234,79,313
HumanEval/108,PASS,155,100,255
HumanEval/109,PASS,329,62,391
HumanEval/11,PASS,102,25,127
HumanEval/110,PASS,222,71,293
HumanEval/111,PASS,176,82,258
HumanEval/112,PASS,189,41,230
HumanEval/113,PASS,200,220,420
HumanEval/114,PASS,115,52,167
HumanEval/115,PASS,352,50,402
HumanEval/116,FAIL,196,24,220
HumanEval/117,PASS,205,82,287
HumanEval/118,PASS,173,94,267
HumanEval/119,PASS,196,196,392
HumanEval/12,PASS,127,51,178
HumanEval/120,FAIL,239,11,250
HumanEval/121,PASS,122,30,152
HumanEval/122,FAIL,152,42,194
HumanEval/123,PASS,255,66,321
HumanEval/124,PASS,286,224,510
HumanEval/125,PASS,169,85,254
HumanEval/126,PASS,283,154,437
HumanEval/127,PASS,280,107,387
HumanEval/128,PASS,146,98,244
HumanEval/129,FAIL,421,298,719
HumanEval/13,PASS,96,21,117
HumanEval/130,PASS,259,154,413
HumanEval/131,PASS,96,60,156
HumanEval/132,FAIL,166,44,210
HumanEval/133,PASS,183,37,220
HumanEval/134,PASS,169,53,222
HumanEval/135,FAIL,128,32,160
HumanEval/136,PASS,171,63,234
HumanEval/137,PASS,166,139,305
HumanEval/138,PASS,106,23,129
HumanEval/139,PASS,120,56,176
HumanEval/14,PASS,83,21,104
HumanEval/140,PASS,136,116,252
HumanEval/141,PASS,242,133,375
HumanEval/142,PASS,195,66,261
HumanEval/143,PASS,175,87,262
HumanEval/144,PASS,182,66,248
HumanEval/145,FAIL,140,36,176
HumanEval/146,PASS,144,78,222
HumanEval/147,PASS,192,176,368
HumanEval/148,PASS,238,114,352
HumanEval/149,PASS,213,38,251
HumanEval/15,PASS,97,24,121
HumanEval/150,PASS,111,49,160
HumanEval/151,PASS,169,45,214
HumanEval/152,PASS,255,47,302
HumanEval/153,PASS,300,80,380
HumanEval/154,PASS,161,35,196
HumanEval/155,PASS,93,72,165
HumanEval/156,PASS,130,191,321
HumanEval/157,PASS,138,37,175
HumanEval/158,PASS,146,63,209
HumanEval/159,PASS,302,40,342
HumanEval/16,PASS,97,24,121
HumanEval/160,PASS,232,49,281
HumanEval/161,PASS,132,45,177
HumanEval/162,PASS,103,31,134
