task_id,passed,input_tokens,output_tokens,total_tokens
HumanEval/0,PASS,152,1234,1386
HumanEval/1,PASS,145,1105,1250
HumanEval/10,PASS,171,1433,1604
HumanEval/100,PASS,157,1344,1501
HumanEval/101,PASS,141,2366,2507
HumanEval/102,PASS,119,1715,1834
HumanEval/103,FAIL,170,2191,2361
HumanEval/104,PASS,131,666,797
HumanEval/105,PASS,301,242,543
HumanEval/106,PASS,149,1637,1786
HumanEval/107,PASS,234,647,881
HumanEval/108,PASS,155,1906,2061
HumanEval/109,PASS,329,2350,2679
HumanEval/11,PASS,102,1200,1302
HumanEval/110,PASS,222,2674,2896
HumanEval/111,PASS,176,318,494
HumanEval/112,PASS,189,307,496
HumanEval/113,PASS,200,1910,2110
HumanEval/114,PASS,115,633,748
HumanEval/115,PASS,352,754,1106
HumanEval/116,FAIL,196,2673,2869
HumanEval/117,PASS,205,473,678
HumanEval/118,PASS,173,920,1093
HumanEval/119,PASS,196,4192,4388
HumanEval/12,PASS,127,479,606
HumanEval/120,PASS,239,1121,1360
HumanEval/121,PASS,122,119,241
HumanEval/122,PASS,152,448,600
HumanEval/123,PASS,255,2067,2322
HumanEval/124,PASS,286,2117,2403
HumanEval/125,PASS,169,370,539
HumanEval/126,PASS,283,1544,1827
HumanEval/127,FAIL,280,944,1224
HumanEval/128,PASS,146,2360,2506
HumanEval/129,PASS,421,7503,7924
HumanEval/13,PASS,96,958,1054
HumanEval/130,PASS,259,4093,4352
HumanEval/131,PASS,96,587,683
HumanEval/132,PASS,166,6772,6938
HumanEval/133,PASS,183,469,652
HumanEval/134,PASS,169,4987,5156
HumanEval/135,PASS,128,276,404
HumanEval/136,PASS,171,319,490
HumanEval/137,FAIL,166,682,848
HumanEval/138,PASS,106,1015,1121
HumanEval/139,PASS,120,483,603
HumanEval/14,PASS,83,88,171
HumanEval/140,PASS,136,2156,2292
HumanEval/141,PASS,242,323,565
HumanEval/142,PASS,195,543,738
HumanEval/143,PASS,175,929,1104
HumanEval/144,PASS,182,1269,1451
HumanEval/145,FAIL,140,4929,5069
HumanEval/146,PASS,144,813,957
HumanEval/147,PASS,192,3314,3506
HumanEval/148,PASS,238,1091,1329
HumanEval/149,PASS,213,633,846
HumanEval/15,PASS,97,148,245
HumanEval/150,PASS,111,201,312
HumanEval/151,PASS,169,1046,1215
HumanEval/152,PASS,255,362,617
HumanEval/153,PASS,300,1479,1779
HumanEval/154,PASS,161,770,931
HumanEval/155,PASS,93,232,325
HumanEval/156,PASS,130,911,1041
HumanEval/157,PASS,138,3162,3300
HumanEval/158,PASS,146,865,1011
HumanEval/159,PASS,302,236,538
HumanEval/16,PASS,97,199,296
HumanEval/160,PASS,232,3948,4180
HumanEval/161,PASS,132,817,949
HumanEval/162,PASS,103,162,265
HumanEval/163,PASS,133,2044,2177
HumanEval/17,PASS,198,470,668
HumanEval/18,PASS,119,581,700
HumanEval/19,PASS,129,317,446
HumanEval/2,PASS,110,245,355
HumanEval/20,PASS,195,1675,1870
HumanEval/21,PASS,149,2681,2830
HumanEval/22,PASS,119,87,206
HumanEval/23,PASS,67,228,295
HumanEval/24,PASS,76,1545,1621
HumanEval/25,PASS,149,361,510
HumanEval/26,PASS,112,300,412
HumanEval/27,PASS,73,465,538
HumanEval/28,PASS,87,137,224
HumanEval/29,PASS,114,78,192
HumanEval/3,PASS,143,200,343
HumanEval/30,PASS,142,109,251
HumanEval/31,PASS,124,373,497
HumanEval/32,PASS,288,4299,4587
HumanEval/33,PASS,178,1220,1398
HumanEval/34,PASS,98,100,198
HumanEval/35,PASS,105,1353,1458
HumanEval/36,PASS,105,3708,3813
HumanEval/37,PASS,151,682,833
HumanEval/38,PASS,186,474,660
HumanEval/39,PASS,117,1860,1977
HumanEval/4,PASS,141,139,280
HumanEval/40,PASS,191,3019,3210
HumanEval/41,PASS,179,2189,2368
HumanEval/42,PASS,137,53,190
HumanEval/43,PASS,182,936,1118
HumanEval/44,PASS,116,817,933
HumanEval/45,PASS,70,186,256
HumanEval/46,PASS,193,1318,1511
HumanEval/47,PASS,99,2768,2867
HumanEval/48,PASS,102,170,272
HumanEval/49,PASS,125,4198,4323
